"+0000-00-01 23:11:00.000"
"+0000-00-03 20:46:00.000"
"+0000-00-07 23:09:00.000"
"+0000-00-09 02:39:00.000"
"+0000-00-08 05:28:00.000"
"+0000-00-02 02:24:00.000"
"+0000-00-04 21:23:00.000"
"+0000-00-03 00:02:00.000"
"+0000-00-03 00:22:00.000"
"+0000-00-06 22:42:00.000"
"+0000-00-08 20:47:00.000"
"+0000-00-05 05:25:00.000"
"+0000-00-05 04:06:00.000"
"+0000-00-01 02:25:00.000"
"+0000-00-09 02:51:00.000"
"+0000-00-01 03:59:00.000"
"+0000-00-01 23:37:00.000"
"+0000-00-06 05:25:00.000"
"+0000-00-06 04:43:00.000"
"+0000-00-02 00:32:00.000"
"+0000-00-00 23:02:00.000"
"+0000-00-01 02:33:00.000"
"+0000-00-04 03:54:00.000"
"+0000-00-01 22:22:00.000"
"+0000-00-02 18:04:00.000"
"+0000-00-05 20:58:00.000"
"+0000-00-04 21:32:00.000"
"+0000-00-01 05:44:00.000"
"+0000-00-04 20:44:00.000"
"+0000-00-04 23:11:00.000"
"+0000-00-05 03:10:00.000"
"+0000-00-00 19:49:00.000"
"+0000-00-01 23:40:00.000"
"+0000-00-03 19:51:00.000"
"+0000-00-02 02:38:00.000"
"+0000-00-03 19:55:00.000"
"+0000-00-03 20:19:00.000"
"+0000-00-06 20:11:00.000"
"+0000-00-05 22:23:00.000"
"+0000-00-02 18:03:00.000"
"+0000-00-07 19:16:00.000"
"+0000-00-05 21:23:00.000"
"+0000-00-01 01:15:00.000"
"+0000-00-04 05:03:00.000"
"+0000-00-08 03:57:00.000"
"+0000-00-08 02:14:00.000"
"+0000-00-04 20:59:00.000"
"+0000-00-07 23:22:00.000"
"+0000-00-05 03:33:00.000"
"+0000-00-03 04:44:00.000"
"+0000-00-00 23:53:00.000"
"+0000-00-05 18:36:00.000"
"+0000-00-01 22:00:00.000"
"+0000-00-06 21:42:00.000"
"+0000-00-05 02:31:00.000"
"+0000-00-01 05:53:00.000"
"+0000-00-03 21:59:00.000"
"+0000-00-03 05:47:00.000"
"+0000-00-07 00:56:00.000"
"+0000-00-05 05:16:00.000"
"+0000-00-07 22:21:00.000"
"+0000-00-05 01:37:00.000"
"+0000-00-01 19:05:00.000"
"+0000-00-09 02:10:00.000"
"+0000-00-04 04:49:00.000"
"+0000-00-03 18:41:00.000"
"+0000-00-02 04:05:00.000"
"+0000-00-06 00:33:00.000"
"+0000-00-02 03:52:00.000"
"+0000-00-01 19:41:00.000"
"+0000-00-02 18:33:00.000"
"+0000-00-02 19:00:00.000"
"+0000-00-07 02:56:00.000"
"+0000-00-01 01:14:00.000"
"+0000-00-09 01:45:00.000"
"+0000-00-09 00:30:00.000"
"+0000-00-01 05:22:00.000"
"+0000-00-06 01:13:00.000"
"+0000-00-08 22:43:00.000"
"+0000-00-06 05:34:00.000"
"+0000-00-08 01:53:00.000"
"+0000-00-06 22:31:00.000"
"+0000-00-02 03:10:00.000"
"+0000-00-04 05:57:00.000"
"+0000-00-04 03:48:00.000"
"+0000-00-05 01:17:00.000"
"+0000-00-03 21:20:00.000"
"+0000-00-03 19:19:00.000"
"+0000-00-04 00:05:00.000"
"+0000-00-06 19:36:00.000"
"+0000-00-07 03:35:00.000"
"+0000-00-05 22:02:00.000"
"+0000-00-09 04:24:00.000"
"+0000-00-04 22:20:00.000"
"+0000-00-08 02:43:00.000"
"+0000-00-04 18:15:00.000"
"+0000-00-02 19:39:00.000"
"+0000-00-01 18:41:00.000"
"+0000-00-03 02:02:00.000"
"+0000-00-08 05:21:00.000"
"+0000-00-06 02:30:00.000"
"+0000-00-06 02:25:00.000"
"+0000-00-09 05:06:00.000"
"+0000-00-01 21:34:00.000"
"+0000-00-04 18:09:00.000"
"+0000-00-09 05:43:00.000"
"+0000-00-09 04:18:00.000"
"+0000-00-05 01:10:00.000"
"+0000-00-04 01:59:00.000"
"+0000-00-08 23:30:00.000"
"+0000-00-02 22:33:00.000"
"+0000-00-08 01:47:00.000"
"+0000-00-02 03:09:00.000"
"+0000-00-07 03:58:00.000"
"+0000-00-04 01:04:00.000"
"+0000-00-00 20:56:00.000"
"+0000-00-06 04:29:00.000"
"+0000-00-05 19:29:00.000"
"+0000-00-04 04:14:00.000"
"+0000-00-07 03:52:00.000"
"+0000-00-04 01:50:00.000"
"+0000-00-07 23:21:00.000"
"+0000-00-00 23:15:00.000"
"+0000-00-04 04:01:00.000"
"+0000-00-08 00:51:00.000"
"+0000-00-02 21:44:00.000"
"+0000-00-08 00:28:00.000"
"+0000-00-04 02:15:00.000"
"+0000-00-09 04:05:00.000"
"+0000-00-05 01:20:00.000"
"+0000-00-05 01:43:00.000"
"+0000-00-05 23:16:00.000"
"+0000-00-04 02:38:00.000"
"+0000-00-07 20:40:00.000"
"+0000-00-08 19:52:00.000"
"+0000-00-05 20:04:00.000"
"+0000-00-06 04:05:00.000"
"+0000-00-03 21:33:00.000"
"+0000-00-03 18:12:00.000"
"+0000-00-01 01:36:00.000"
"+0000-00-07 02:23:00.000"
"+0000-00-03 01:03:00.000"
"+0000-00-01 21:56:00.000"
"+0000-00-06 21:52:00.000"
